Month,Hour,DayOfWeek,Holiday,Temperature,Humidity,SquareFootage,Occupancy,HVACUsage,LightingUsage,RenewableEnergy,EnergyConsumption
1,0,Saturday,No,25.1394334377269,43.43158120480281,1565.6939992511177,5,On,Off,2.774698791658742,75.36437339539214
1,1,Saturday,No,27.731650520792968,54.225918580233085,1411.064918331917,1,On,On,21.831384152500608,83.40185495035139
1,2,Saturday,No,28.704276857248125,58.907657743033184,1755.71500922237,2,Off,Off,6.76467168191291,78.27088774061066
1,3,Saturday,No,20.080469485298178,50.3716371457499,1452.316318334375,1,Off,On,8.623446893471096,56.51985048548002
1,4,Saturday,No,23.09735925505204,51.40142134361278,1094.1303586981196,9,On,Off,3.0719692157166323,70.81173246793318
1,5,Saturday,Yes,29.576037393658908,36.82426323380886,1871.7091797360983,6,Off,Off,17.62668982389795,84.32188519433718
1,6,Saturday,Yes,25.13116712267887,35.70962155267958,1607.0012284749637,6,On,Off,24.26470232698351,76.16579090213895
1,7,Saturday,Yes,23.182844248720983,31.67991978011051,1633.9553295431135,8,Off,Off,27.51709925003732,74.1319061773031
1,8,Saturday,No,25.39199937425648,46.399364049557406,1240.309223721734,6,On,Off,2.3075954692088576,78.20623587095885
1,9,Saturday,No,22.2125494242776,32.41846388370173,1705.4203356236917,1,On,Off,29.140070981014404,77.99221370196022
1,10,Saturday,Yes,28.0648135792427,36.45147178564109,1341.467128540315,2,Off,Off,0.3522383966403897,82.27443448386548
1,11,Saturday,Yes,23.422546256146845,30.527342157466457,1604.4183548074382,6,On,On,19.529548154656723,73.27866950427382
1,12,Saturday,Yes,25.388888490671448,47.60101803425757,1244.6189139899486,1,On,Off,21.79744359722318,84.14477565753458
1,13,Saturday,Yes,20.058737855510586,41.861641594454376,1806.052631578324,2,Off,Off,6.384949152471242,60.0225185622203
1,14,Saturday,Yes,26.731524781805252,37.29787044961106,1419.7490137965287,6,Off,Off,12.074223142216765,81.18318756246354
1,15,Saturday,No,22.10024262178738,56.09917871988325,1144.8062949047298,8,Off,On,10.900770033732996,74.081256288494
1,16,Saturday,No,29.32557592878712,56.95417356701815,1620.861781135627,0,On,On,15.453999472973807,89.4982076601557
1,17,Saturday,Yes,23.74244749481492,42.24584548342733,1413.595106864955,1,On,Off,3.940678287777141,72.87244263642421
1,18,Saturday,No,27.524189220859466,47.17242967942455,1832.1997785770343,9,On,Off,19.68895830922032,83.8998965998896
1,19,Saturday,Yes,27.63139001845522,36.14029374467184,1251.553720835332,4,On,On,8.848082816473534,82.07757940317406
